airportCode,airportName,city,state,country,airportLatitude,airportLongitude,cityId,attractionId
ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,20083006,eyJ1ZmkiOjIwMDgzMDA2fQ==
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,20004981,eyJ1ZmkiOjIwMDA0OTgxfQ==
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,20024809,eyJ1ZmkiOjIwMDI0ODA5fQ==
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,20126394,eyJ1ZmkiOjIwMTI2Mzk0fQ==
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,20019550,eyJ1ZmkiOjIwMDE5NTUwfQ==
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,-2589989,eyJ1ZmkiOjIwMDAwMzc0fQ==
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,20123908,eyJ1ZmkiOjIwMTIzOTA4fQ==
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,20061717,eyJ1ZmkiOjIwMDYxNzE3fQ==
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,20085250,eyJ1ZmkiOjIwMDg1MjUwfQ==
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,20011868,eyJ1ZmkiOjIwMDExODY4fQ==
BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,20053799,eyJ1ZmkiOjIwMDUzNzk5fQ==
CHS,Charleston AFB International,Charleston,SC,USA,32.89864639,-80.04050583,20115955,eyJ1ZmkiOjIwMTE1OTU1fQ==
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,20097630,eyJ1ZmkiOjIwMDk3NjMwfQ==
CLT,Charlotte Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,20091627,eyJ1ZmkiOjIwMDkxNjI3fQ==
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,20097699,eyJ1ZmkiOjIwMDk3Njk5fQ==
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,20025907,eyJ1ZmkiOjIwMDQ0NTU5fQ==
DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,20127504,eyJ1ZmkiOjIwMTI3NTA0fQ==
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,20126350,eyJ1ZmkiOjIwMTI2MzUwfQ==
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,20017349,eyJ1ZmkiOjIwMDE3MzQ5fQ==
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,,
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,20064402,eyJ1ZmkiOjIwMDY0NDAyfQ==
ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,20127813,eyJ1ZmkiOjIwMTI3ODEzfQ==
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,20081957,eyJ1ZmkiOjIwMDgxOTU3fQ==
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,,
HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,20030916,eyJ1ZmkiOjIwMDMwOTE2fQ==
HOU,William P X,Houston,TX,USA,29.64541861,-95.27888889,20128761,eyJ1ZmkiOjIwMTI4NzYxfQ==
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,20136620,eyJ1ZmkiOjIwMTM2NjIwfQ==
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,20128761,eyJ1ZmkiOjIwMTI4NzYxfQ==
IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,20037880,eyJ1ZmkiOjIwMDM3ODgwfQ==
JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,20022757,eyJ1ZmkiOjIwMDIyNzU3fQ==
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,20088325,eyJ1ZmkiOjIwMDg4MzI1fQ==
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333,20079110,eyJ1ZmkiOjIwMDc5MTEwfQ==
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,20014181,eyJ1ZmkiOjIwMDE0MTgxfQ==
LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,20088325,eyJ1ZmkiOjIwMDg4MzI1fQ==
LIT,Adams ,Little Rock,AR,USA,34.72939611,-92.22424556,20009446,eyJ1ZmkiOjIwMDA5NDQ2fQ==
MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,20073662,eyJ1ZmkiOjIwMDczNjYyfQ==
MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,20023488,eyJ1ZmkiOjIwMDIzNDg4fQ==
MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,20033173,eyJ1ZmkiOjIwMDMzMTczfQ==
MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,20123619,eyJ1ZmkiOjIwMTIzNjE5fQ==
MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556,20023181,eyJ1ZmkiOjIwMDIzMTgxfQ==
MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333,20150599,eyJ1ZmkiOjIwMTUwNTk5fQ==
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,20067845,eyJ1ZmkiOjIwMDY3ODQ1fQ==
MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,20050264,eyJ1ZmkiOjIwMDUwMjY0fQ==
OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,20014887,eyJ1ZmkiOjIwMDE0ODg3fQ==
OGG,Kahului,Kahului,HI,USA,20.89864972,-156.4304578,20030949,eyJ1ZmkiOjIwMDMwOTQ5fQ==
OKC,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389,20103321,eyJ1ZmkiOjIwMTAzMzIxfQ==
OMA,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306,20078399,eyJ1ZmkiOjIwMDc4Mzk5fQ==
ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944,20014970,eyJ1ZmkiOjIwMDE0OTcwfQ==
ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,20033173,eyJ1ZmkiOjIwMDMzMTczfQ==
ORF,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222,20140148,eyJ1ZmkiOjIwMTQwMTQ4fQ==
